BR Rank,Player
1,Christian McCaffrey
2,Dalvin Cook
3,Alvin Kamara
4,Derrick Henry
5,Ezekiel Elliott
6,Aaron Jones
7,Nick Chubb
8,Travis Kelce
9,Austin Ekeler
10,Tyreek Hill
11,Saquon Barkley
12,Davante Adams
13,Joe Mixon
14,Clyde Edwards-Helaire
15,Stefon Diggs
16,Calvin Ridley
17,DeAndre Hopkins
18,Jonathan Taylor
19,Antonio Gibson
20,DK Metcalf
21,JK Dobbins
22,AJ Brown
23,Najee Harris
24,Darren Waller
25,Keenan Allen
26,David Montgomery
27,Allen Robinson II
28,Justin Jefferson
29,Chris Carson
30,Terry McLaurin
31,George Kittle
32,D'Andre Swift
33,Amari Cooper
34,Josh Jacobs
35,Miles Sanders
36,Patrick Mahomes
37,Chris Godwin
38,CeeDee Lamb
39,Robert Woods
40,Mike Davis
41,Mike Evans
42,Josh Allen
43,DJ Moore
44,Kareem Hunt
45,Julio Jones
46,Myles Gaskin
47,Cooper Kupp
48,Lamar Jackson
49,Darrell Henderson Jr
50,Brandon Aiyuk
51,Chase Edmonds
52,Dak Prescott
53,Adam Thielen
54,Tyler Lockett
55,TJ Hockenson
56,Ja'Marr Chase
57,James Robinson
58,Diontae Johnson
59,Kyler Murray
60,Courtland Sutton
61,Melvin Gordon
62,Travis Etienne
63,Mark Andrews
64,Tee Higgins
65,Russell Wilson
66,Kyle Pitts
67,David Johnson
68,Odell Beckham Jr
69,Javonte Williams
70,JuJu Smith-Schuster
71,Aaron Rodgers
72,Kenny Golladay
73,Brandin Cooks
74,Tyler Boyd
75,Leonard Fournette
76,Trey Sermon
77,DJ Chark Jr
78,Chase Claypool
79,Antonio Brown
80,Zack Moss
81,Logan Thomas
82,Damien Harris
83,Tom Brady
84,Robby Anderson
85,James Conner
86,Justin Herbert
87,Deebo Samuel
88,Raheem Mostert
89,Dallas Goedert
90,Jerry Jeudy
91,Kenyan Drake
92,Michael Carter
93,Will Fuller V
94,Ronald Jones II
95,Laviska Shenault Jr
96,Ryan Tannehill
97,Latavius Murray
98,Robert Tonyan
99,Curtis Samuel
100,Devin Singletary
