Player,Dave CBS Rank,Position
C. McCaffrey,1,RB
D. Cook,2,RB
A. Kamara,3,RB
D. Henry,4,RB
E. Elliott,5,RB
A. Jones,6,RB
A. Ekeler,7,RB
T. Kelce,8,TE
D. Adams,9,WR
T. Hill,10,WR
N. Chubb,11,RB
N. Harris,12,RB
J. Mixon,13,RB
A. Gibson,14,RB
J. Taylor,15,RB
S. Barkley,16,RB
S. Diggs,17,WR
C. Ridley,18,WR
D. Hopkins,19,WR
J. Jefferson,20,WR
D. Waller,21,TE
A. Brown,22,WR
C. Edwards-Helaire,23,RB
D. Metcalf,24,WR
K. Allen,25,WR
A. Robinson II,26,WR
G. Kittle,27,TE
D. Swift,28,RB
R. Woods,29,WR
D. Montgomery,30,RB
T. McLaurin,31,WR
J. Dobbins,32,RB
J. Jones,33,WR
C. Lamb,34,WR
A. Cooper,35,WR
C. Carson,36,RB
C. Godwin,37,WR
T. Lockett,38,WR
C. Kupp,39,WR
D. Moore,40,WR
M. Sanders,41,RB
D. Johnson,42,WR
A. Thielen,43,WR
J. Chase,44,WR
P. Mahomes,45,QB
J. Allen,46,QB
K. Murray,47,QB
L. Jackson,48,QB
T. Hockenson,49,TE
M. Gaskin,50,RB
D. Prescott,51,QB
M. Andrews,52,TE
C. Claypool,53,WR
M. Evans,54,WR
B. Aiyuk,55,WR
K. Pitts,56,TE
M. Davis,57,RB
D. Henderson Jr,58,RB
T. Boyd,59,WR
T. Etienne,60,RB
T. Higgins,61,WR
J. Jacobs,62,RB
J. Smith-Schuster,63,WR
K. Hunt,64,RB
M. Carter,65,RB
R. Anderson,66,WR
J. Robinson,67,RB
R. Mostert,68,RB
J. Williams,69,RB
C. Edmonds,70,RB
J. Jeudy,71,WR
R. Wilson,72,QB
K. Golladay,73,WR
O. Beckham Jr,74,WR
J. Herbert,75,QB
C. Sutton,76,WR
A. Brown,77,WR
D. Chark Jr,78,WR
W. Fuller V,79,WR
C. Samuel,80,WR
J. Conner,81,RB
B. Cooks,82,WR
T. Sermon,83,RB
D. Johnson,84,RB
M. Gordon,85,RB
D. Harris,86,RB
R. Jones II,87,RB
L. Shenault Jr,88,WR
D. Smith,89,WR
I. Smith Jr,90,TE
N. Fant,91,TE
T. Brady,92,QB
Z. Moss,93,RB
K. Drake,94,RB
L. Fournette,95,RB
J. Williams,96,RB
R. Tannehill,97,QB
A. Dillon,98,RB
E. Moore,99,WR
J. Waddle,100,WR
A. Rodgers,101,QB
J. Hurts,102,QB
A. Trautman,103,TE
M. Jones Jr,104,WR
L. Thomas,105,TE
D. Goedert,106,TE
J. Smith,107,TE
D. Samuel,108,WR
M. Brown,109,WR
T. Pollard,110,RB
J. Landry,111,WR
M. Williams,112,WR
M. Thomas,113,WR
M. Pittman Jr,114,WR
M. Stafford,115,QB
G. Edwards,116,RB
L. Murray,117,RB
J. Burrow,118,QB
D. Singletary,119,RB
M. Gallup,120,WR
D. Mooney,121,WR
H. Ruggs III,122,WR
R. Gage,123,WR
E. Sanders,124,WR
T. Higbee,125,TE
G. Bernard,126,RB
J. Crowder,127,WR
A. Mattison,128,RB
J. White,129,RB
J. Brown,130,WR
T. Coleman,131,RB
R. Bateman,132,WR
J. Reagor,133,WR
C. Davis,134,WR
R. Moore,135,WR
M. Hardman,136,WR
T. Marshall Jr,137,WR
D. Parker,138,WR
R. Tonyan,139,TE
T. Lawrence,140,QB
T. Lance,141,QB
X. Jones,142,RB
C. Kmet,143,TE
P. Campbell,144,WR
T. Smith,145,WR
T. Hilton,146,WR
M. Callaway,147,WR
G. Everett,148,TE
R. Gronkowski,149,TE
J. Meyers,150,WR
N. Hines,151,RB
D. Watson,152,QB
R. Penny,153,RB
K. Cousins,154,QB
T. Tagovailoa,155,QB
D. Williams,156,RB
G. Davis,157,WR
J. Fields,158,QB
J. McKissic,159,RB
M. Brown,160,RB
D. Booker,161,RB
D. Williams,162,RB
C. Hubbard,163,RB
Q. Ollison,164,RB
P. Lindsay,165,RB
S. Michel,166,RB
C. Beasley,167,WR
S. Shepard,168,WR
N. Agholor,169,WR
B. Edwards,170,WR
M. Ryan,171,QB
B. Roethlisberger,172,QB
A. Green,173,WR
M. Gesicki,174,TE
Z. Ertz,175,TE
R. Fitzpatrick,176,QB
M. Ingram,177,RB
A. Peterson,178,RB
T. Williams,179,WR
S. Perine,180,RB
K. Gainwell,181,RB
T. Cohen,182,RB
A. St. Brown,183,WR
K. Toney,184,WR
E. Ebron,185,TE
E. Engram,186,TE
H. Henry,187,TE
J. Cook,188,TE
M. Boone,189,RB
L. Rountree III,190,RB
B. Mayfield,191,QB
C. Newton,192,QB
S. Darnold,193,QB
D. Jones,194,QB
B. Scott,195,RB
T. Hill,196,QB
M. Mack,197,RB
S. Watkins,198,WR
D. Arnold,199,TE
A. Firkser,200,TE
