Player,Jamey CBS Rank,Position
C. McCaffrey,1,RB
D. Cook,2,RB
A. Kamara,3,RB
D. Henry,4,RB
E. Elliott,5,RB
A. Jones,6,RB
T. Kelce,7,TE
D. Adams,8,WR
T. Hill,9,WR
A. Ekeler,10,RB
S. Barkley,11,RB
S. Diggs,12,WR
N. Harris,13,RB
N. Chubb,14,RB
J. Mixon,15,RB
J. Taylor,16,RB
C. Edwards-Helaire,17,RB
A. Gibson,18,RB
C. Ridley,19,WR
D. Hopkins,20,WR
A. Brown,21,WR
J. Jefferson,22,WR
D. Metcalf,23,WR
D. Waller,24,TE
T. McLaurin,25,WR
D. Swift,26,RB
G. Kittle,27,TE
A. Robinson II,28,WR
K. Allen,29,WR
P. Mahomes,30,QB
D. Montgomery,31,RB
J. Dobbins,32,RB
C. Carson,33,RB
R. Woods,34,WR
C. Lamb,35,WR
A. Cooper,36,WR
J. Jones,37,WR
T. Lockett,38,WR
C. Godwin,39,WR
D. Moore,40,WR
C. Kupp,41,WR
D. Johnson,42,WR
M. Evans,43,WR
M. Gaskin,44,RB
D. Henderson Jr,45,RB
M. Sanders,46,RB
L. Jackson,47,QB
J. Allen,48,QB
J. Jacobs,49,RB
T. Etienne,50,RB
M. Davis,51,RB
T. Hockenson,52,TE
M. Andrews,53,TE
J. Smith-Schuster,54,WR
J. Chase,55,WR
C. Claypool,56,WR
A. Thielen,57,WR
B. Aiyuk,58,WR
T. Higgins,59,WR
K. Murray,60,QB
K. Pitts,61,TE
M. Carter,62,RB
K. Hunt,63,RB
D. Prescott,64,QB
C. Edmonds,65,RB
J. Williams,66,RB
R. Mostert,67,RB
T. Boyd,68,WR
R. Anderson,69,WR
J. Jeudy,70,WR
K. Golladay,71,WR
C. Sutton,72,WR
R. Wilson,73,QB
J. Herbert,74,QB
D. Harris,75,RB
J. Robinson,76,RB
D. Chark Jr,77,WR
B. Cooks,78,WR
O. Beckham Jr,79,WR
M. Gordon,80,RB
T. Sermon,81,RB
J. Conner,82,RB
Z. Moss,83,RB
D. Johnson,84,RB
D. Smith,85,WR
C. Samuel,86,WR
M. Thomas,87,WR
L. Shenault Jr,88,WR
A. Brown,89,WR
E. Moore,90,WR
W. Fuller V,91,WR
R. Tannehill,92,QB
R. Jones II,93,RB
L. Murray,94,RB
G. Edwards,95,RB
A. Dillon,96,RB
J. Williams,97,RB
L. Fournette,98,RB
T. Brady,99,QB
M. Williams,100,WR
J. Waddle,101,WR
M. Brown,102,WR
D. Mooney,103,WR
J. Landry,104,WR
K. Drake,105,RB
T. Pollard,106,RB
D. Singletary,107,RB
N. Fant,108,TE
A. Rodgers,109,QB
A. Trautman,110,TE
M. Gallup,111,WR
D. Samuel,112,WR
M. Pittman Jr,113,WR
I. Smith Jr,114,TE
M. Stafford,115,QB
D. Goedert,116,TE
J. Hurts,117,QB
M. Jones Jr,118,WR
M. Hardman,119,WR
T. Hilton,120,WR
D. Parker,121,WR
T. Smith,122,WR
G. Bernard,123,RB
R. Penny,124,RB
L. Thomas,125,TE
D. Williams,126,RB
A. Mattison,127,RB
X. Jones,128,RB
J. Burrow,129,QB
J. McKissic,130,RB
T. Cohen,131,RB
N. Hines,132,RB
J. White,133,RB
T. Coleman,134,RB
T. Higbee,135,TE
T. Lawrence,136,QB
C. Beasley,137,WR
C. Davis,138,WR
H. Ruggs III,139,WR
R. Bateman,140,WR
J. Brown,141,WR
T. Marshall Jr,142,WR
J. Smith,143,TE
T. Lance,144,QB
A. St. Brown,145,WR
R. Gage,146,WR
G. Davis,147,WR
G. Everett,148,TE
C. Newton,149,QB
S. Perine,150,RB
K. Gainwell,151,RB
E. Engram,152,TE
R. Gronkowski,153,TE
N. Agholor,154,WR
R. Moore,155,WR
J. Meyers,156,WR
J. Reagor,157,WR
E. Sanders,158,WR
B. Jarwin,159,TE
M. Gesicki,160,TE
K. Cousins,161,QB
R. Tonyan,162,TE
B. Roethlisberger,163,QB
H. Henry,164,TE
M. Ryan,165,QB
C. Kmet,166,TE
D. Watson,167,QB
Q. Ollison,168,RB
C. Hubbard,169,RB
P. Lindsay,170,RB
B. Edwards,171,WR
J. Crowder,172,WR
K. Toney,173,WR
P. Campbell,174,WR
A. Green,175,WR
M. Callaway,176,WR
S. Shepard,177,WR
B. Scott,178,RB
D. Booker,179,RB
D. Williams,180,RB
N. Collins,181,WR
R. Stevenson,182,RB
M. Mack,183,RB
J. Kelley,184,RB
J. Jackson,185,RB
T. Williams,186,WR
C. Kirk,187,WR
T. Tagovailoa,188,QB
Z. Ertz,189,TE
B. Snell,190,RB
S. Michel,191,RB
S. Ahmed,192,RB
J. McKinnon,193,RB
B. Perriman,194,WR
R. Fitzpatrick,195,QB
E. Ebron,196,TE
A. Hooper,197,TE
J. Fields,198,QB
B. Mayfield,199,QB
R. Cobb,200,WR
