theScore Rank,Player
1,Christian McCaffrey
2,Dalvin Cook
3,Alvin Kamara
4,Davante Adams
5,Ezekiel Elliott
6,Aaron Jones
7,Derrick Henry
8,Stefon Diggs
9,Tyreek Hill
10,Austin Ekeler
11,Travis Kelce
12,Antonio Gibson
13,Calvin Ridley
14,Saquon Barkley
15,DeAndre Hopkins
16,Jonathan Taylor
17,Nick Chubb
18,DK Metcalf
19,Joe Mixon
20,Justin Jefferson
21,Keenan Allen
22,AJ Brown
23,Darren Waller
24,Najee Harris
25,Allen Robinson II
26,Terry McLaurin
27,CeeDee Lamb
28,Clyde Edwards-Helaire
29,Robert Woods
30,D'Andre Swift
31,George Kittle
32,Chris Godwin
33,Chris Carson
34,DJ Moore
35,Julio Jones
36,Mike Evans
37,Amari Cooper
38,JK Dobbins
39,Darrell Henderson Jr
40,Tyler Lockett
41,Diontae Johnson
42,Tee Higgins
43,Ja'Marr Chase
44,Brandon Aiyuk
45,Cooper Kupp
46,Josh Jacobs
47,David Montgomery
48,Travis Etienne
49,Mike Davis
50,Jerry Jeudy
51,Miles Sanders
52,Chase Claypool
53,Kyle Pitts
54,TJ Hockenson
55,Patrick Mahomes
56,Robby Anderson
57,Odell Beckham Jr
58,JuJu Smith-Schuster
59,Kareem Hunt
60,Javonte Williams
61,Chase Edmonds
62,Adam Thielen
63,Josh Allen
64,Kyler Murray
65,Mark Andrews
66,Lamar Jackson
67,Trey Sermon
68,Kenny Golladay
69,Brandin Cooks
70,Courtland Sutton
71,Antonio Brown
72,Tyler Boyd
73,Laviska Shenault Jr
74,Raheem Mostert
75,Myles Gaskin
76,Dak Prescott
77,Will Fuller V
78,Deebo Samuel
79,DeVonta Smith
80,Corey Davis
81,Michael Gallup
82,Marvin Jones Jr
83,Curtis Samuel
84,Aaron Rodgers
85,Damien Harris
86,Michael Carter
87,Russell Wilson
88,Justin Herbert
89,Mike Williams
90,DJ Chark Jr
91,Jaylen Waddle
92,James Robinson
93,Nyheim Hines
94,Jamaal Williams
95,Elijah Moore
96,Melvin Gordon
97,Ronald Jones II
98,AJ Dillon
99,James Conner
100,Zack Moss
101,Kenyan Drake
102,Noah Fant
103,Jarvis Landry
104,Tom Brady
105,Matthew Stafford
106,Ryan Tannehill
107,Gus Edwards
108,Tony Pollard
109,DeVante Parker
110,Darnell Mooney
111,Michael Pittman Jr
112,Malcolm Brown
113,Logan Thomas
114,Mecole Hardman
115,James White
116,Dallas Goedert
117,Russell Gage
118,Rondale Moore
119,Jalen Hurts
120,Joe Burrow
121,Tyler Higbee
122,Leonard Fournette
123,Devin Singletary
124,David Johnson
125,Latavius Murray
126,Giovani Bernard
127,Phillip Lindsay
128,Emmanuel Sanders
129,Jakobi Meyers
130,Cole Beasley
131,JD McKissic
132,Darrynton Evans
133,Alexander Mattison
134,Henry Ruggs III
135,Marquise Brown
136,Irv Smith Jr
137,Robert Tonyan
138,Trevor Lawrence
139,Marquez Callaway
140,Sterling Shepard
141,Nelson Agholor
142,Bryan Edwards
143,Tua Tagovailoa
144,Trey Lance
145,Tevin Coleman
146,Damien Williams
147,Terrace Marshall Jr
148,Rashaad Penny
149,Boston Scott
150,Chuba Hubbard
151,Xavier Jones
152,Jalen Reagor
153,Ryan Fitzpatrick
154,Samaje Perine
155,Evan Engram
156,Jonnu Smith
157,Darrel Williams
158,Jerick McKinnon
159,Justin Jackson
160,Ty Johnson
161,Rob Gronkowski
162,Randall Cobb
163,Tre'Quan Smith
164,Tyrell Williams
165,Mike Gesicki
166,Kirk Cousins
167,Matt Ryan
168,TY Hilton
169,Michael Thomas
170,Gabriel Davis
171,Christian Kirk
172,Parris Campbell
173,Amon-Ra St Brown
174,Qadree Ollison
175,Anthony McFarland Jr
176,Baker Mayfield
177,Justin Fields
178,Cole Kmet
179,Salvon Ahmed
180,Devontae Booker
181,Adam Trautman
182,Marquez Valdes-Scantling
183,Gerald Everett
184,Breshad Perriman
185,Darius Slayton
186,Nico Collins
187,AJ Green
188,Rashod Bateman
189,Sony Michel
190,Keelan Cole Sr
191,Jamison Crowder
192,Sammy Watkins
193,Josh Palmer
194,Rhamondre Stevenson
195,Hunter Henry
196,KJ Hamler
197,Quez Watkins
198,Blake Jarwin
199,Zach Wilson
200,Ben Roethlisberger
